time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/loss,train/learning_rate,train/clip_range,train/clip_fraction,train/approx_kl,train/n_updates,train/entropy_loss
1,7,285,2048,,,,,,,,,,
2,16,246,4096,-1.1920928955078125e-07,-0.00432180123461876,423.1708233833313,131.4507293701172,0.0003,0.2,0.123388671875,0.011522366,10,-3.5743225038051607
3,25,236,6144,-2.384185791015625e-07,-0.0035962984897196294,482.7930429458618,177.33226013183594,0.0003,0.2,0.117236328125,0.011662301,20,-3.5666412360966206
4,35,232,8192,1.1920928955078125e-07,-0.005208079272415489,440.13429937362673,157.50732421875,0.0003,0.2,0.144580078125,0.015082829,30,-3.5508213579654693
5,44,229,10240,5.960464477539063e-08,-0.002772946149343625,397.93252935409544,142.02999877929688,0.0003,0.2,0.098193359375,0.010258183,40,-3.540962053090334
6,53,227,12288,1.1920928955078125e-07,-0.003034048606059514,357.6684497356415,122.90093231201172,0.0003,0.2,0.091064453125,0.00905639,50,-3.5379143826663495
7,63,226,14336,0.0,-0.0052138998464215545,319.51958055496215,107.37462615966797,0.0003,0.2,0.166552734375,0.010901473,60,-3.5033445745706557
8,72,224,16384,-1.1920928955078125e-07,-0.00327120739093516,283.5295139789581,94.14517211914062,0.0003,0.2,0.12177734375,0.011083349,70,-3.5090590849518777
9,82,224,18432,0.0,-0.0020523132290691136,249.71290225982665,78.67141723632812,0.0003,0.2,0.093115234375,0.009825639,80,-3.508976326882839
10,91,223,20480,-1.1920928955078125e-07,-0.0069854944827966396,218.0639841556549,65.4127426147461,0.0003,0.2,0.18564453125,0.013778901,90,-3.524270747601986
11,101,222,22528,-1.1920928955078125e-07,-0.0031747188681038097,188.5969200372696,56.14127731323242,0.0003,0.2,0.099267578125,0.0147014,100,-3.5026539519429205
12,111,221,24576,0.0,-0.0058953746280167255,161.29890019893645,44.50460433959961,0.0003,0.2,0.166162109375,0.015729072,110,-3.4721469938755036
13,120,220,26624,0.0,-0.0022175327176228166,136.17329976558685,35.650699615478516,0.0003,0.2,0.093701171875,0.01468873,120,-3.4522765941917894
14,130,219,28672,0.0,-0.0018059029651340097,113.22698489427566,27.02511978149414,0.0003,0.2,0.08310546875,0.008248789,130,-3.449227987229824
15,139,220,30720,-2.384185791015625e-07,-0.005733266123570502,92.45033299922943,20.1970157623291,0.0003,0.2,0.112744140625,0.015588311,140,-3.4756842747330667
16,148,220,32768,-1.1920928955078125e-07,-0.0046584897383581845,73.84610173106194,14.26354694366455,0.0003,0.2,0.1310546875,0.014487271,150,-3.467548292130232
